TABLE SIZE      NUMBER OF KEYS      LOAD FACTOR         COLLISIONS      LONGEST LIST 
10              10                  1                   5               4
10              100                 10                  90              14
10              500                 50                  490             62
10              1000                100                 990             116

20              10                  .5                  1               2
20              100                 5                   80              10
20              500                 25                  480             34
20              1000                50                  980             65

30              10                  .33                 1               2
30              100                 3.33                71              7
30              500                 16.67               470             23
30              1000                33.33               970             48
